epoch,total_memory_bytes,occupied_memory_bytes,free_memory_bytes,disk_size_bytes,cpu_usage
1720265133490,150994944,70882808,1720265133490,507904,0.05639662573436842
1720265133563,150994944,71039248,1720265133563,507904,0.060241708936490675
1720265133651,150994944,71195536,1720265133651,507904,0.060241708936490675
1720265133725,150994944,71347608,1720265133725,507904,0.060241708936490675
1720265133801,150994944,71501776,1720265133801,507904,0.060241708936490675
1720265133884,150994944,64943944,1720265133884,507904,0.060241708936490675
1720265133954,150994944,65126704,1720265133954,507904,0.060241708936490675
1720265134018,150994944,65438288,1720265134018,507904,0.060241708936490675
1720265134084,150994944,65593968,1720265134084,507904,0.06026446554482837
1720265134169,150994944,65749376,1720265134169,507904,0.06026446554482837
1720265134246,150994944,65905048,1720265134246,507904,0.06026446554482837
1720265134318,150994944,66058088,1720265134318,507904,0.06026446554482837
1720265134400,150994944,66229216,1720265134400,507904,0.06026446554482837
1720265134478,150994944,66383424,1720265134478,507904,0.06026446554482837
1720265134543,150994944,66547488,1720265134543,507904,0.06026446554482837
1720265134619,150994944,66713224,1720265134619,507904,0.06251774503675124
1720265134691,150994944,66877560,1720265134691,507904,0.06251774503675124
1720265134766,150994944,67051512,1720265134766,507904,0.06251774503675124
